항공사,출발지공항,스케줄타임
대한항공,신 울란바토르,202403060005
대한항공,암스테르담,202403060055
대한항공,나트랑,202403060615
대한항공,후쿠오카,202403060650
대한항공,김해,202403060700
대한항공,키타큐슈,202403060705
대한항공,옌타이,202403060725
대한항공,도쿄/나리타,202403060730
대한항공,신 울란바토르,202403060745
대한항공,마닐라,202403060745
대한항공,베이징/서우두,202403060755
대한항공,후쿠오카,202403060800
대한항공,오사카/ 간사이,202403060800
대한항공,오키나와,202403060805
대한항공,하노이,202403060805
대한항공,선전,202403060815
대한항공,홍콩,202403060820
대한항공,김해,202403060825
대한항공,상하이/푸동,202403060825
대한항공,칭다오,202403060830
대한항공,삿포로,202403060835
대한항공,오카야마,202403060845
대한항공,선양(심양),202403060850
대한항공,상하이/푸동,202403060855
대한항공,광저우,202403060855
대한항공,장사,202403060855
대한항공,오사카/ 간사이,202403060900
대한항공,타이베이,202403060900
대한항공,칭다오,202403060905
대한항공,호찌민,202403060910
대한항공,우한,202403060915
대한항공,방콕/수완나품,202403060915
대한항공,괌,202403060915
대한항공,시안,202403060920
대한항공,옌지(연길),202403060925
대한항공,항저우,202403060930
대한항공,보스턴,202403060930
대한항공,디트로이트,202403060935
대한항공,괌,202403060935
대한항공,타이베이,202403060940
대한항공,싱가포르,202403060950
대한항공,애틀랜타,202403060935
대한항공,도쿄/나리타,202403060955
대한항공,샤먼,202403061005
대한항공,삿포로,202403061005
대한항공,오키나와,202403061010
대한항공,호찌민,202403061015
대한항공,뉴욕/존에프케네디,202403061000
대한항공,톈진,202403061015
대한항공,워싱턴,202403061015
대한항공,댈러스포트워스,202403061020
대한항공,토론토,202403061020
대한항공,난징,202403061030
대한항공,하노이,202403061035
대한항공,나고야,202403061035
대한항공,자카르타/수카르노하타,202403061035
대한항공,홍콩,202403061040
대한항공,시카고/오헤어,202403061040
대한항공,다낭,202403061045
대한항공,하이커우,202403061045
대한항공,오사카/ 간사이,202403061050
대한항공,런던/히드로,202403061055
대한항공,후쿠오카,202403061105
대한항공,가고시마,202403061105
대한항공,타슈켄트,202403061105
대한항공,쿠알라룸푸르,202403061105
대한항공,베이징/서우두,202403061110
대한항공,프라하,202403061110
대한항공,다낭,202403061110
대한항공,상하이/푸동,202403061110
대한항공,프랑크푸르트,202403061130
대한항공,옌타이,202403061155
대한항공,칭다오,202403061200
대한항공,바르셀로나,202403061205
대한항공,비엔나,202403061205
대한항공,파리/샤를드골,202403061210
대한항공,밀라노,202403061210
대한항공,상하이/푸동,202403061215
대한항공,가오슝,202403061215
대한항공,타이베이,202403061225
대한항공,두바이,202403061245
대한항공,다롄(대련),202403061250
대한항공,상하이/푸동,202403061255
대한항공,삿포로,202403061255
대한항공,칭다오,202403061305
대한항공,후쿠오카,202403061310
대한항공,칭다오,202403061315
대한항공,신 울란바토르,202403061320
대한항공,카트만두,202403061325
대한항공,도쿄/나리타,202403061335
대한항공,이스탄불,202403061345
대한항공,김해,202403061415
대한항공,시안,202403061420
대한항공,웨이하이,202403061400
대한항공,상하이/푸동,202403061430
대한항공,선양(심양),202403061430
대한항공,로스앤젤레스,202403061430
대한항공,자카르타/수카르노하타,202403061505
대한항공,오사카/ 간사이,202403061510
대한항공,쿤밍,202403061545
대한항공,푸꾸옥,202403061545
대한항공,광저우,202403061615
대한항공,샌프란시스코,202403061600
대한항공,타이베이,202403061615
대한항공,시애틀,202403061600
대한항공,상하이/푸동,202403061620
대한항공,양곤,202403061635
대한항공,칭다오,202403061640
대한항공,도쿄/나리타,202403061655
대한항공,푸켓,202403061655
대한항공,쿠알라룸푸르,202403061640
대한항공,방콕/수완나품,202403061710
대한항공,김해,202403061715
대한항공,방콕/수완나품,202403061720
대한항공,후쿠오카,202403061720
대한항공,덴파사르,202403061740
대한항공,푸켓,202403061745
대한항공,호찌민,202403061755
대한항공,오클랜드(뉴질랜드),202403061755
대한항공,하노이,202403061805
대한항공,호찌민,202403061805
대한항공,치앙마이,202403061805
대한항공,밴쿠버,202403061820
대한항공,상하이/푸동,202403061825
대한항공,다낭,202403061830
대한항공,나트랑,202403061830
대한항공,싱가포르,202403061835
대한항공,마닐라,202403061835
대한항공,댈러스포트워스,202403061835
대한항공,하노이,202403061840
대한항공,후쿠오카,202403061840
대한항공,애틀랜타,202403061845
대한항공,시드니,202403061845
대한항공,도쿄/나리타,202403061845
대한항공,나고야,202403061900
대한항공,세부,202403061850
대한항공,오사카/ 간사이,202403061905
대한항공,방콕/수완나품,202403061905
대한항공,프놈펜,202403061855
대한항공,상하이/푸동,202403061905
대한항공,베이징/서우두,202403061900
대한항공,미니애폴리스,202403061925
대한항공,대구,202403061925
대한항공,김해,202403061935
